name,price,category,rating,review_count,reviews
Oxomoco,$$$,Mexican,4.2,644,"['Had an amazing early lunch here yesterday with a friend! We stopped in at 1:30pm with no reservations but they were fairly empty so we were greeted and...', 'Title:  Subtle Missteps at Oxomoco\n\nNestled in the bustling streets of New York, Oxomoco aims to dazzle with its Michelin-starred charm, yet some dishes...', 'We came here for brunch on a Sunday, it was busy but service was friendly and prompt. We got spiced mango, chips and salsa, and three meaty tacos: steak,...']"
Mezze on the River,$$$,"Seafood, Mediterranean",4.3,188,"[""The food was absolutely AMAZINGGG. My boyfriend took me for Valentine's Day and I was blown away. The place is so nice and the ambiance is amazing for Date..."", 'Visited Mezze from Chicago, Illinois. Had a great view of the Hudson and Jersey City. Great ambiance, good service. Started with the Saganaki Cigars which...', ""This restaurant is in the downtown area , gets very quiet at night which is nice . The restaurant is on the river and that's the best part.\nThe food is...""]"
Olle,$$$,Korean,4.4,217,"['Booked a few days before going and it was great food!\n\nWe got the eel, naymung, mumg bean with beef and spicy snails. The place has more seafood dishes than...', 'Beautiful restaurant, with excellent food and friendly service. They have unlimited free refills on the small side dishes which are delicious and elevate...', 'Food 4.0/5.0\nService 4.0/5.0\nValue 3.0/5.0\nDecor 3.5/5.0\nOverall 4.0/5.0\n\nGood galbi jjim, would definitely recommend. Food was very good across the board....']"
Sweetwater Restaurant,$$,"New American, Bars",4.1,485,"['Ty was amazing!\n\nFood was great and really good ambience.\n\nWas still warm with the heater even though it was cold.', 'truly disappointing.\nI have not been back to Sweetwater in a few years, and was excited to return. It was a truly disappointing experience. The food was not...', ""Sweetwater was recommended to my by a local at Brooklyn Brewery, and I'm so glad I went on my last day here. \n\nFrom the moment I walked in, the service was...""]"
Fulton Fish,$$$,Seafood,4.3,33,"[""Had a meal to remember at [Restaurant Name], and here's the rundown:\n\nOysters: 5 stars\nPure oceanic delight. The oysters here are so fresh! We went with the..."", 'Their razor clams! They were delicious! Everything was very fresh and enjoyable.\n\nI occasionally crave seafood and instantly think about their razor clams...', 'Came back again yesterday. Oyster selection was unimpressive Cheeboktook and Village Bay were quite good but the other 4 left much to be desired. It was...']"
Lil Chef Mama,$$,Thai,4.5,168,"[""Best Thai food in the city. I've come here about 10+ times and it's always great. The staff is friendly and the vibes are nice!!\n\nWe always get the morning..."", 'Hidden treasure alert!! HIDDEN TREASURE ALERT!!!!!!! I find myself in the South Street Seaport Area so infrequently, I would have NO idea where to go for a...', ""Mediocre overall if they didn't try to upsell the larb that wasn't even on the menu.\n\nPad Thai was fine - missing tamarind, peanut sauce driven.\n\nChicken...""]"
Olea,$$,"Tapas Bars, Breakfast & Brunch, Mediterranean",4.2,1018,"['Say! I like Green Eggs and Lamb!\nI do! I like them, Chris-i-am!\nAnd I would eat them in a boat.\nAnd I would eat them with a goat.\nAnd I will eat them, in...', 'A friend took me here to celebrate my belated birthday for a nice brunch today. I initially checked out the menu the day before like I usually always do and...', ""I've been here on two separate occasions and thought the food was okay the first time but the service was decent. The second time (today) the food was much...""]"
Laser Wolf,$$$$,"Middle Eastern, Desserts, Cocktail Bars",4.4,307,"['This honestly might be one of the best value restaurants I have been to in the city. We were able to walk in right at opening for bar seats on Sunday, and...', 'We stumbled upon this restaurant because it used to be French, but now it is a mixture including Mediterranean. T\nOur waiter left everything to be desired...', 'We had a group of 4 who were staying at the hotel. This is a very hard to get into restaurant and lines are out the door. However they do have a first come,...']"
La Sirene,$$$,"French, Wine Bars, Fondue",4.3,1713,"['**HEADS UP** If you do not have AMEX, Bitcoin, please bring cash to pay.\n\n\nThat being said, came here for dinner with my best friend.  We just wanted to...', 'Service - 5 \nAs we entered the restaurant we were immediately walked to sit down at our table. We were right at the corner of the kitchen and the hall and...', 'Similar to other reviews I am not really sure what the hype about this restaurant is. I was so excited to try the food because of its great ratings and the...']"
Ichibantei,$$,"Japanese, Steakhouses",3.9,318,"['Tip: come during happy hour when they have the BOGO deal on drinks; super worth! (We came on a Sunday around 1).\n\nThis place is a bit hidden, but has some...', ""Surprised when we entered - dark inside, lighted mirrors, and with reggae music playing which I didn't mind at all . Service is great. Menu prices on their..."", 'Staffs were friendly.\n\nKaraage (four giant pieces) and dumplings (5 pieces) were very crispy.\n\nHighly recommend the karaage and dumplings. The oyakodon was...']"
Henry's End,$$$,"New American, Bars",4.1,400,"['We had a quick weekend trip to Manhattan and spent a Sunday in Brooklyn. As a lover as all things wild game, i was  thrilled when I heard about their wild...', ""My husband and I have always had a really lovely time at Henry's End - during the summer, we love to take advantage of the outdoor seating and dine with our..."", 'Lovely atmosphere (albeit noisy) & attentive service with grossly overpriced and underwhelming food. Everything was presented beautifully and tasted...']"
Okonomi,$$$,"Japanese, Seafood",4.3,544,"['(Overall: A) - Okonomi is a boutique restaurant that aims to serve traditional Japanese breakfast with two sets, a smaller one containing one vegetable and...', 'First visit: lunch- Very americanized inside (lofi/r&b music to set the chill mood) and just overall vibe. Although everything was absolutely delicious my...', ""Came here for brunch on a Sunday - reservations are needed as they don't accept walk in (there are only 12 seats).\n\nThe service was great, as was the food....""]"
LumLum ,$$,Thai,4.4,454,"['Amazing food and great service . Highly recommend to try their famous crying tiger dish!', 'Excellent food and vibes!  Few dishes including the steamed fish and Kra Prow were amazing.  The service was good as well.  Worth checking for sure!', ""If you're looking for a place to truly relax and enjoy good food LumLum is the place. Though the ambiance is relaxed and intimate the dishes are elevated...""]"
Butler,$$,"Coffee & Tea, Cafes",4.2,212,"['We stopped by for coffee and a chocolate croissant before a concert in the park nearby. Fast service a clean restroom and a great people watching view were...', 'All in all, a cute and comfortable brunch spot in Dumbo. Gorgeous views of the Brooklyn bridge and tables outside for when the interior gets too crowded...', 'Food was fantastic!! \nCoffee actually have grate taste but bit overpriced.\n\nDefinitely will come back with my friend. Nice music playlist as well']"
Tatiana By Kwame Onwuachi,$$$$,"Caribbean, African",4.4,318,"['The food is incredible. It is a great blending of flavors from so many different places. The okra appetizer was amazing. The cocktails are well crafted. It...', 'Had a very pleasant evening. Fine dining vibes with hip hop/r&b. All the staff were so nice and professional.  The food tasted very ""top chef"".\n\nWhat we...', ""I'm still shocked that my party of 4 was able to experience this on my recent trip to NYC. Plan was to line up as walk in at 4:15.. we didnt get in line...""]"
El Mate,$$,Argentine,4.6,360,"['If you are in Carroll Gardens eat here! We ended up in the area, searching last minute for a place to eat. Luckily we found this gem. The outside of the...', 'We were meeting some friends at Queue Beer around the corner for drinks (also highly recommend) and wanted to get some dinner nearby first, so a quick check...', 'How to finish your year strong? Go to Brooklyn. Walk around. Come across a small restaurant with an Argentinian flag in Carroll Gardens. Have one of the...']"
Purepecha,$$,Mexican,4.3,99,"[""Wonderful food at a low price. I had the enchiladas placeras, which are basically like enchiladas but fried in salsa instead of baked. It's not a very..."", 'Such a cute whole in the wall restaurant in Brooklyn with great food at affordable prices. Came here for a late lunch and it did not miss! My boyfriend got...', ""The nachos were the absolute star of the show! Writing this is making me crave it so bad. Anyway our main dish arrived and it was good but we couldn't stop...""]"
Westville,$$,Mediterranean,4.2,417,"['I must give Westville maximum stars. The maximum number of stars comes from its cozy and bright dining areas. The maximum endorsement comes from the...', 'Pretty good brunch spot in DUMBO!\n\nGot a couple of market veggies on a platter\n- brussels sprouts with dijon honey was super good, must try this!\n- roasted...', ""This place is a 3.5. It's good but nothing jaw dropping. \n\nI had a great meal for $24 of grilled salmon and pesto mashed potatoes and Moroccan fries. All...""]"
RH Rooftop Restaurant New York,$$$,"American, Wine Bars",4.1,914,"[""A vibe is a vibe is a vibe is a vibe lol \n\nLet's get into this ONE! Hands down one of the best brunches I have been too and yal know I'm a brunch girlie!..."", 'Food (4/5) - I will still be dreaming about the shaved rib-eye on garlic toast. Shared it with my party (we each had half) and was pretty stuffed after......', '$36 for a piece of salmon with no side or plate presentation? Literally just a piece of salmon and a lemon on the plate was insane to see. What is this...']"
Lillo Cucina Italiana,$$,"Cafes, Italian",4.8,223,"['Absolutely loved this place!  Their artichoke appetizer and Cacio Pepe were amazing! I picked this place while I had an 8 hour layover at JFK. Best decision...', 'Do not eat here. The food may be top notch but the service is not. I was treated rudely by who I think was the owner as a solo diner and that is not how you...', 'Went around 2PM on a Saturday, and was able to get a table for 2. Seating seems a bit limited, so there is definitely a chance you may need to take out. It...']"
Very Fresh Noodles,$$,"Taiwanese, Chinese, Noodles",4.4,1541,"['Best hand pulled noodles in NYC! Stopped by Very Fresh Noodles at Chelsea Market and tried their La Mei Taiwanese Beef Noodle Soup (mild) and their Seaweed...', ""If you like Szechuan and looking for a quick meal, Very Fresh Noodles hits the spot. I prefer this spot over Xi'an Famous Foods to be honest. Although..."", ""Let's go! \nThis spot delivered such a fun vibe. \n\nFast paced with your order, great flavor, unique experience for Chelsea market. \n\nLots of fun to try new...""]"
Crab House All You Can Eat Seafood,$$$$,"Buffets, Seafood, Cajun/Creole",4.4,1009,"[""Food is fresh and taste so amazing. Service is fast and great. Nice selection of music. I'm going to continue to come back. I recommend to anyone who loves..."", ""The food was amazing. \nDrinks are great.\nServers are really nice. \nAnd who doesn't love unlimited crab. $80 you can't beat that"", 'I was disappointed with the experience at this establishment. The atmosphere was not conducive to a pleasant dining experience, with people smoking outside...']"
Cecconi's Dumbo,$$$,Italian,3.5,1114,"['Good service, long wait tho. Good food and a really beautiful view of the Brooklyn Bridge', 'Came here for a trip to New York because I heard that this is the best place to see the beautiful Brooklyn Bridge, and I will tell you it did not...', 'Came here on a Friday night with friends. I had been here a few times before and had a good experience, but this time was different. \n\nThe first thing I...']"
Jack's Wife Freda,$$,"Breakfast & Brunch, Mediterranean, New American",3.9,2494,"['The besttttt and flavorful dish ever! My tummy is satisfied  also I got a ginger and lemon tea great sooooo yummy', 'Indulging in breakfast was an absolute delight! Nestled in the heart of Soho, this charming spot boasts an ambiance that effortlessly blends sophistication...', 'I enjoyed the food and ambiance of this restaurant. The interior is decorated so cutely. It has very playful decor and was a great brunch spot. I came in on...']"
Naked Dog,$$,"Italian, Wine Bars, Cocktail Bars",4.5,288,"['The Naked Dog has delicious homemade pasta, my favorites are the short rib ravioli, the mushroom tagliatelle and the agnolotti.  They also make an...', ""Great but not the best bang for your buck.\n\nFood was delicious don't get me wrong, but serving size was quite little in my personal opinion for the amount..."", 'Great fresh food!\nPasta with bolognese is delicious!\nGreat wait staff!\nNice atmosphere!']"
Hojokban,$$$,Korean,4.5,146,"[""I've been here twice and both times were amazing! Service is top notch and food is always great quality. \n\nFor starters I would highly recommend the beef..."", ""The restaurant is beautifully decorated with great mood lighting. It's a great place for a small group meal!\n\nTwo small plates and two main dishes were..."", 'Service \nFood \nAmbiance \n\nWe got the shin ramen cup noodle fried rice, soba, yukwe and EVERYTHING was soo good. I would definitely recommend!!!']"
Ampersand,$$,"Cocktail Bars, New American",4.3,263,"['This place is really a winner (and sorry to sideswipe, but much better than neighboring Globe Bar). Exceptionally crafted cocktails, and an adorable rustic...', 'Went to Ampersand on a Saturday evening around 9:30/10 with one other person. Based on other reviews I had expected (and was dreading) a wait but was...', 'Went out with the hubby to meet up a friend visiting from out of town. It was a Thursday night around 7:30pm. The place was full, but not overly packed. We...']"
Rule of Thirds,$$$,"Japanese, Breakfast & Brunch, Cocktail Bars",4.0,670,"['What an amazing spot. I had been walking by the exterior of this building for a while and thought it looked so cool so I reached out inquiring about hosting...', 'I got a lot of crap over the phone with the reservations person about a 10 people party (2 of them being of children) and even splitting the party in 5 was...', 'Celebrated my birthday at rule of thirds and had a fantastic experience with the food, drink, vibes, and service! They not only started us off with a cute...']"
Win Son,$$,"Taiwanese, New American",4.2,794,"[""We went on a Sunday lunch, and the wait wasn't too long(about 15 minutes?)\n\nI think overall it was good but not something that is on my mind or too crazy...."", 'this place had been on my to try list for a long while so was excited to give it a try. unfortunately will say i was a little underwhelmed given the hype...', '3.5\n\nThis review is for the restaurant and not for the bakery. \n\nAmbiance is a bustling American diner with tight seating but not too overcrowded. \n\nService...']"
Vineapple,$$,"Italian, Cocktail Bars, Breakfast & Brunch",4.3,159,"['I came here for a evening meal with quite a few foodies and wow this place is a hidden gem.\n\nThe great:\n1. Just simply amazing pasta with quite a few...', 'Conveniently placed close to Clark St Station, and a really cute place. Our service was great. Very helpful and friendly server. Food came in good time. The...', 'A classic brunch spot serving classic brunch food, I would recommend Vineapple if you are looking to catch up with a group of friends in a cozy, casual...']"
The Hideaway Seaport,$$,"Bars, New American, Gastropubs",4.1,135,"['Just wanted to give a shout out to the GM Michael for his hospitality and the staff at the Hideaway Seaport. Came here for post work drinks with some...', 'Went for tippling and stayed for food.\n\nGot their apparently world famous bramble was was utterly disappointed. I love brambles and this was not it. \n\nMy...', 'I came here with my date to redeem my drink for the Autumn Tippler as we were in the area. The tippler drink was the Scottish Bramble. The drink was okay....']"
Paesano of Mulberry Street,$$,"Italian, Salad, Seafood",4.1,1523,"['Had the linguine and white clam sauce. Wife had the spaghetti carbonara. Both lunch portions were huge. The cream sauce on the carbonara was amazing....', 'Service was great and ambiance was just like an Italian trattoria.  But unfortunately, the food fell short. \n\nUnder seasoned and food was not quite there.', ""Came here at 8:30pm for dinner on a weeknight. The restaurant was packed but the friendly host greeted us and assured we'd be seated in a timely manner. We...""]"
Otis,$$$,"New American, Cocktail Bars",4.8,558,"[""After some really outstanding experiences, Otis has become one of my favorite places in all of Brooklyn. They've shined bright with their exceptional..."", ""Otis in Brooklyn offers a delightful dining experience that seamlessly blends comfort with sophistication. As you step inside, you're enveloped by a warm..."", 'Absolute perfection from start to finish.  Came here for a pre Theater XIV dinner and was impressed from the moment I arrived to the moment I left. \n\nOur...']"
Seamore’s Dumbo,$$,"Seafood, Cocktail Bars, Breakfast & Brunch",3.9,218,"[""Honestly didn't know this location existed until I came across it when searching for local trivia night spots!\n\nI've been to a couple of the other Seamore's..."", ""Everything we had was very yummy!! It's a breath of fresh air to go out for dinner and try a new place and the food is amazing and taste fresh. \n\n- clam..."", ""Seafood and Live Jazz on Tuesday's in Brooklyn? Sign me up! \n\nService was great. A little empty, but a great spot boardering the Time Out Market in Dumbo....""]"
